Caracteristică,Descriere
Flow Duration,"Caracteristica 'Flow Duration' prezintă o valoare medie de aproximativ 28001680.75, cu o abatere standard de 42766802.20, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă foarte mare (119999998) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Flow Packets/s,"Caracteristica 'Flow Packets/s' prezintă o valoare medie de aproximativ inf, cu o abatere standard de nan, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă este infinită, ceea ce indică o posibilă eroare numerică sau o intensitate anormal de mare în trafic, posibil asociată cu scenarii de flooding agresiv. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Fwd Avg Bulk Rate,"Caracteristica 'Fwd Avg Bulk Rate' prezintă o valoare medie de aproximativ 0.00, cu o abatere standard de 0.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Bwd Avg Bulk Rate,"Caracteristica 'Bwd Avg Bulk Rate' prezintă o valoare medie de aproximativ 0.00, cu o abatere standard de 0.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Idle Mean,"Caracteristica 'Idle Mean' prezintă o valoare medie de aproximativ 22111218.77, cu o abatere standard de 38124153.51, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (120000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Active Mean,"Caracteristica 'Active Mean' prezintă o valoare medie de aproximativ 92244.78, cu o abatere standard de 700704.89, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (100000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Fwd Header Length,"Caracteristica 'Fwd Header Length' prezintă o valoare medie de aproximativ 242.06, cu o abatere standard de 15642.77, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă foarte mare (4290372) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Bwd Header Length,"Caracteristica 'Bwd Header Length' prezintă o valoare medie de aproximativ 249.25, cu o abatere standard de 19689.57, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (5447060) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
Flow Bytes/s,"Caracteristica 'Flow Bytes/s' prezintă o valoare medie de aproximativ inf, cu o abatere standard de nan, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă este infinită, ceea ce indică o posibilă eroare numerică sau o intensitate anormal de mare în trafic, posibil asociată cu scenarii de flooding agresiv. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
FwdBwdPacketRatio,"Caracteristica 'FwdBwdPacketRatio' prezintă o valoare medie de aproximativ 556332224.17, cu o abatere standard de 3395651589.78, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă foarte mare (480000000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
SubflowBytesRatio,"Caracteristica 'SubflowBytesRatio' prezintă o valoare medie de aproximativ 21199633902.08, cu o abatere standard de 459516973002.70, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (54032000000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
PacketLengthRange,"Caracteristica 'PacketLengthRange' prezintă o valoare medie de aproximativ 1711.41, cu o abatere standard de 2642.73, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
FwdPacketAggression,"Caracteristica 'FwdPacketAggression' prezintă o valoare medie de aproximativ 0.94, cu o abatere standard de 1.15, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
SynRate,"Caracteristica 'SynRate' prezintă o valoare medie de aproximativ 66406.53, cu o abatere standard de 8148755.26, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (1000000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
PshRate,"Caracteristica 'PshRate' prezintă o valoare medie de aproximativ 0.00, cu o abatere standard de 0.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
SynBurstScore,"Caracteristica 'SynBurstScore' prezintă o valoare medie de aproximativ inf, cu o abatere standard de nan, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă este infinită, ceea ce indică o posibilă eroare numerică sau o intensitate anormal de mare în trafic, posibil asociată cu scenarii de flooding agresiv. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
BulkRateDiff,"Caracteristica 'BulkRateDiff' prezintă o valoare medie de aproximativ 0.00, cu o abatere standard de 0.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
BulkToPacketRate,"Caracteristica 'BulkToPacketRate' prezintă o valoare medie de aproximativ 0.00, cu o abatere standard de 0.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
IdleActiveImbalance,"Caracteristica 'IdleActiveImbalance' prezintă o valoare medie de aproximativ 777361323611075.88, cu o abatere standard de 8149427123034574.00, indicând o variabilitate ridicată în cadrul traficului. Prezența valorii minime egale cu 0 sugerează existența unor fluxuri în care această caracteristică lipsește complet, ceea ce este tipic pentru sesiuni incomplete sau pentru atacuri în care sensul opus este neglijat. Valoarea maximă foarte mare (120000000000000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
HeaderToPayloadRatio,"Caracteristica 'HeaderToPayloadRatio' prezintă o valoare medie de aproximativ 13632644452.48, cu o abatere standard de 37019184842.25, indicând o variabilitate ridicată în cadrul traficului. Valoarea maximă foarte mare (800000000000) sugerează apariția unor anomalii sau comportamente de tip flooding, caracteristice atacurilor DoS/DDoS. Această caracteristică este relevantă în analiza comportamentelor deviante, deoarece poate evidenția discrepanțe față de traficul legitim din rețea."
